,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,dividend_yield,PER,PBR,BuyAfterSale,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,FI_buy,FI_sell,FDS_buy,FDS_sell,IT_buy,IT_sell,DS_buy,DS_sell,DH_buy,DH_sell,stock_and_cache_dividend,revenue,revenue_month
0,2012-01-02,2330,14945219,1121673328,75.0,75.4,74.7,75.0,-0.8,3402,3.99,13.56,3.25,,,,,618.0,0.0,6478889.0,302.0,11087.0,10771.0, ,283.0,205.0,0.0,6478889.0,32.0,7550.0,7723.0,,,,,,,,,,,,,
1,2012-01-03,2330,21223640,1605206995,75.5,75.9,75.2,75.7,0.7,5659,3.95,13.69,3.28,,,,,119.0,0.0,6478889.0,1154.0,10052.0,11087.0, ,25.0,32.0,0.0,6478889.0,184.0,7702.0,7550.0,,,,,,,,,,,,,
2,2012-01-04,2330,34126472,2584467506,76.1,76.1,75.5,75.8,0.1,7311,3.94,13.71,3.28,,,,,188.0,1.0,6478537.0,352.0,9887.0,10052.0, ,15.0,25.0,0.0,6478537.0,18.0,7695.0,7702.0,,,,,,,,,,,,,
3,2012-01-05,2330,28076670,2126987204,76.0,76.0,75.3,76.0,0.2,7053,3.93,13.74,3.29,,,,,198.0,7.0,6478537.0,481.0,9597.0,9887.0, ,166.0,36.0,7.0,6478537.0,6.0,7658.0,7695.0,,,,,,,,,,,,,
4,2012-01-06,2330,30123118,2269477313,75.9,75.9,74.9,75.6,-0.4,7701,3.96,13.67,3.27,,,,,1092.0,5.0,6478537.0,213.0,10471.0,9597.0, ,377.0,197.0,0.0,6478537.0,2.0,7463.0,7658.0,,,,,,,,,,,,,
5,2012-01-09,2330,27655856,2074522035,75.2,75.6,74.6,75.6,0.0,5106,3.96,13.67,3.27,,,,,301.0,4.0,6478537.0,453.0,10315.0,10471.0, ,427.0,90.0,0.0,6478537.0,43.0,7416.0,7463.0,,,,,,,,,,,,,
6,2012-01-10,2330,62064369,4729115971,76.0,76.5,75.8,76.5,0.9,14505,3.91,13.83,3.31,,,,,507.0,1.0,6478537.0,1785.0,9036.0,10315.0, ,150.0,50.0,0.0,6478537.0,177.0,7543.0,7416.0,,,,,,,,,,,,,
7,2012-01-11,2330,44295291,3388935115,76.8,77.0,76.1,76.5,0.0,9749,3.91,13.83,3.31,,,,,293.0,0.0,6478537.0,408.0,8921.0,9036.0, ,135.0,25.0,0.0,6478537.0,69.0,7587.0,7543.0,,,,,,,,,,,,,
8,2012-01-12,2330,55520616,4267531914,76.7,77.1,76.5,77.0,0.5,14357,3.88,13.92,3.33,,,,,191.0,0.0,6478537.0,786.0,8326.0,8921.0, ,67.0,20.0,0.0,6478537.0,104.0,7671.0,7587.0,,,,,,,,,,,,,
9,2012-01-13,2330,57757708,4483256615,77.2,78.0,77.0,77.5,0.5,15399,3.86,14.01,3.35,,,,,631.0,5.0,6479055.0,913.0,8039.0,8326.0, ,73.0,101.0,4.0,6479055.0,126.0,7692.0,7671.0,,,,,,,,,,,,,
10,2012-01-16,2330,37711367,2844327425,76.1,76.9,74.6,75.3,-2.2,10092,3.97,13.62,3.26,,,,,1485.0,1.0,6479055.0,302.0,9221.0,8039.0, ,640.0,331.0,0.0,6479055.0,67.0,7428.0,7692.0,,,,,,,,,,,,,
11,2012-01-17,2330,43995131,3316458851,75.9,75.9,74.9,75.6,0.3,9194,3.96,13.67,3.27,,,,,665.0,5.0,6479055.0,419.0,9462.0,9221.0, ,288.0,132.0,33.0,6479055.0,75.0,7338.0,7428.0,,,,,,,,,,,,,
12,2012-01-18,2330,57181592,4356043463,75.9,76.7,75.6,76.7,1.1,13544,3.9,13.87,3.32,,,,,184.0,34.0,6479055.0,1390.0,8222.0,9462.0, ,176.0,71.0,0.0,6479055.0,233.0,7500.0,7338.0,,,,,,,,,,,,,
13,2012-01-30,2330,147548010,11573235542,78.0,79.5,77.2,78.7,2.0,22750,3.8,14.23,3.41,,,,,625.0,0.0,6479055.0,817.0,8027.0,8219.0, ,207.0,362.0,0.0,6479055.0,108.0,7246.0,7500.0,,,,,,,,,,,,,
14,2012-01-31,2330,87917010,6835437530,78.1,78.5,76.3,78.5,-0.2,12126,3.81,14.2,3.4,,,,,961.0,2.0,6479055.0,263.0,8723.0,8027.0, ,366.0,260.0,0.0,6479055.0,41.0,7027.0,7246.0,,,,,,,,,,,,,
15,2012-02-01,2330,47222153,3635636754,77.5,77.7,76.7,77.0,-1.5,11945,3.88,13.92,3.33,,,,,1494.0,2.0,6479055.0,412.0,9803.0,8723.0, ,268.0,199.0,0.0,6479055.0,4.0,6832.0,7027.0,,,,,,,,,,,,34053091000.0,1.0
16,2012-02-02,2330,54065648,4139408266,77.5,77.5,76.1,76.8,-0.2,13604,3.89,13.89,3.32,,,,,2126.0,0.0,6479055.0,311.0,11618.0,9803.0, ,305.0,216.0,0.0,6479055.0,18.0,6634.0,6832.0,,,,,,,,,,,,,
17,2012-02-03,2330,49361665,3748745031,76.3,76.4,75.6,76.2,-0.6,12987,3.92,13.78,3.3,,,,,2642.0,4.0,6479055.0,385.0,13871.0,11618.0, ,430.0,290.0,447.0,6479055.0,48.0,5945.0,6634.0,,,,,,,,,,,,,
18,2012-02-04,2330,22960601,1751843427,76.4,76.7,76.0,76.5,0.3,6273,3.91,13.83,3.31,,,,,1999.0,0.0,6479055.0,1128.0,14742.0,13871.0, ,501.0,124.0,1.0,6479055.0,50.0,5870.0,5945.0,,,,,,,,,,,,,
19,2012-02-06,2330,47596035,3677167919,77.3,77.5,76.6,77.4,0.9,12277,3.86,14.0,3.35,,,,,663.0,5.0,6479055.0,2899.0,12501.0,14742.0, ,304.0,25.0,0.0,6479055.0,371.0,6216.0,5870.0,,,,,,,,,,,,,
20,2012-02-07,2330,30008591,2317938563,77.5,77.5,76.8,77.4,0.0,6097,3.86,14.0,3.35,,,,,307.0,7.0,6479055.0,1879.0,10922.0,12501.0, ,226.0,125.0,0.0,6479055.0,58.0,6149.0,6216.0,,,,,,,,,,,,,
21,2012-02-08,2330,35600596,2750530815,77.5,77.5,76.9,77.5,0.1,9080,3.86,14.01,3.35,,,,,1315.0,0.0,6479055.0,893.0,11344.0,10922.0, ,423.0,259.0,1.0,6479055.0,18.0,5907.0,6149.0,,,,,,,,,,,,,
22,2012-02-09,2330,70988148,5478463961,77.0,78.0,76.5,78.0,0.5,13075,3.83,14.1,3.38,,,,,1223.0,0.0,6479055.0,1052.0,11515.0,11344.0, ,880.0,176.0,0.0,6479055.0,90.0,5821.0,5907.0,,,,,,,,,,,,,
23,2012-02-10,2330,47270213,3664264682,78.0,78.0,76.7,76.9,-1.1,10331,3.89,13.91,3.33,,,,,785.0,28.0,6479055.0,1035.0,11237.0,11515.0, ,157.0,148.0,104.0,6479055.0,49.0,5618.0,5821.0,,,,,,,,,,,,,
24,2012-02-13,2330,36415470,2786463230,76.4,77.1,76.2,76.6,-0.3,9645,3.9,13.85,3.32,,,,,1329.0,31.0,6479055.0,329.0,12206.0,11237.0, ,248.0,127.0,3.0,6479055.0,44.0,5532.0,5618.0,,,,,,,,,,,,,
25,2012-02-14,2330,42110292,3233673684,77.1,77.4,76.2,77.3,0.7,9112,3.87,13.98,3.35,,,,,687.0,0.0,6479131.0,1021.0,11872.0,12206.0, ,518.0,51.0,1.0,6479131.0,51.0,5531.0,5532.0,,,,,,,,,,,,,
26,2012-02-15,2330,71500425,5588585195,77.6,78.5,77.6,78.5,1.2,15396,3.81,14.2,3.4,,,,,2463.0,1.0,6479131.0,2278.0,12056.0,11872.0, ,619.0,192.0,1.0,6479131.0,532.0,5870.0,5531.0,,,,,,,,,,,,,
27,2012-02-16,2330,59907015,4698031555,78.5,78.9,78.0,78.5,0.0,11614,3.81,14.2,3.4,,,,,270.0,0.0,6479131.0,3368.0,8958.0,12056.0, ,180.0,47.0,0.0,6479131.0,273.0,6096.0,5870.0,,,,,,,,,,,,,
28,2012-02-17,2330,78979635,6309497471,79.5,81.1,79.4,80.0,1.5,14200,3.74,14.47,3.46,,,,,1418.0,2.0,6479131.0,1213.0,9161.0,8958.0, ,512.0,284.0,1.0,6479131.0,269.0,6080.0,6096.0,,,,,,,,,,,,,
29,2012-02-20,2330,31810729,2546630759,80.6,80.8,79.7,80.0,0.0,6826,3.74,14.47,3.46,,,,,489.0,0.0,6479131.0,627.0,9023.0,9161.0, ,116.0,39.0,50.0,6479131.0,28.0,6019.0,6080.0,,,,,,,,,,,,,
30,2012-02-21,2330,28138010,2246058190,80.0,80.0,79.3,80.0,0.0,7394,3.74,14.47,3.46,,,,,124.0,0.0,6479131.0,910.0,8237.0,9023.0, ,26.0,79.0,0.0,6479131.0,59.0,5999.0,6019.0,,,,,,,,,,,,,
31,2012-02-22,2330,41142793,3272417484,79.9,80.0,79.0,79.7,-0.3,9208,3.75,14.41,3.45,,,,,411.0,21.0,6479131.0,210.0,8417.0,8237.0, ,170.0,135.0,0.0,6479131.0,18.0,5882.0,5999.0,,,,,,,,,,,,,
32,2012-02-23,2330,59975057,4682232446,79.0,79.4,77.7,78.1,-1.6,14125,3.83,14.12,3.38,,,,,2535.0,0.0,6479131.0,146.0,10806.0,8417.0, ,365.0,490.0,4.0,6479131.0,7.0,5395.0,5882.0,,,,,,,,,,,,,
33,2012-02-24,2330,41026074,3210715319,77.5,79.1,77.2,79.1,1.0,8549,3.78,14.3,3.42,,,,,457.0,18.0,6479131.0,1334.0,9911.0,10806.0, ,675.0,87.0,0.0,6479131.0,207.0,5515.0,5395.0,,,,,,,,,,,,,
34,2012-02-29,2330,78339188,6287743759,80.2,81.1,79.4,81.1,2.0,18172,3.69,14.67,3.51,,,,,343.0,0.0,6479131.0,1891.0,8363.0,9911.0, ,154.0,120.0,10.0,6479131.0,465.0,5850.0,5515.0,,,,,,,,,,,,,
35,2012-03-01,2330,21239827,1710833901,81.0,81.0,80.1,80.1,-1.0,6032,3.73,14.48,3.47,,,,,169.0,1.0,6479131.0,360.0,8171.0,8363.0, ,37.0,116.0,26.0,6479131.0,33.0,5741.0,5850.0,,,,,,,,,,,,33584499000.0,2.0
36,2012-03-02,2330,23912512,1903984572,80.0,80.1,79.2,80.0,-0.1,7219,3.74,14.47,3.46,,,,,810.0,0.0,6479131.0,119.0,8862.0,8171.0, ,37.0,399.0,1.0,6479131.0,0.0,5341.0,5741.0,,,,,,,,,,,,,
37,2012-03-03,2330,7341542,582164539,79.1,79.6,79.1,79.3,-0.7,2856,3.77,14.34,3.43,,,,,271.0,0.0,6479131.0,193.0,8940.0,8862.0, ,42.0,113.0,105.0,6479131.0,9.0,5132.0,5341.0,,,,,,,,,,,,,
38,2012-03-05,2330,22825263,1800269666,78.7,79.6,78.5,78.9,-0.4,7120,3.79,14.27,3.42,,,,,686.0,1.0,6479131.0,200.0,9425.0,8940.0, ,248.0,246.0,2.0,6479131.0,30.0,4914.0,5132.0,,,,,,,,,,,,,
39,2012-03-06,2330,27779665,2190390269,79.6,79.6,78.3,79.5,0.6,6610,3.76,14.38,3.44,,,,,262.0,0.0,6479131.0,252.0,9435.0,9425.0, ,162.0,148.0,2.0,6479131.0,125.0,4889.0,4914.0,,,,,,,,,,,,,
40,2012-03-07,2330,30335373,2397735943,79.0,79.3,78.7,79.1,-0.4,7673,3.78,14.3,3.42,,,,,196.0,1.0,6479131.0,205.0,9425.0,9435.0, ,57.0,66.0,1.0,6479131.0,166.0,4988.0,4889.0,,,,,,,,,,,,,
41,2012-03-08,2330,36967094,2946734735,79.8,80.2,79.2,79.7,0.6,8363,3.75,14.41,3.45,,,,,326.0,0.0,6479131.0,636.0,9115.0,9425.0, ,79.0,59.0,0.0,6479131.0,71.0,5000.0,4988.0,,,,,,,,,,,,,
42,2012-03-09,2330,22731319,1808011258,79.5,80.0,78.8,80.0,0.3,5725,3.74,14.47,3.46,,,,,224.0,0.0,6479131.0,205.0,9134.0,9115.0, ,444.0,128.0,0.0,6479131.0,17.0,4889.0,5000.0,,,,,,,,,,,,,
43,2012-03-12,2330,28952164,2324706990,80.2,80.5,79.6,80.0,0.0,9433,3.74,14.47,3.29,,,,,43.0,3.0,6479131.0,795.0,8379.0,9134.0, ,45.0,49.0,0.0,6479131.0,117.0,4957.0,4889.0,,,,,,,,,,,,,
